IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
3.144.80.78,2053,443,true,CMH,North America,Columbus,215,6.77
67.226.223.240,80,443,true,CMH,North America,Columbus,220,6.77
67.226.222.196,80,443,true,CMH,North America,Columbus,219,6.77
204.110.223.251,80,443,true,CMH,North America,Columbus,219,6.74
3.19.79.3,443,443,true,ORD,North America,Chicago,273,6.74
3.145.10.65,443,443,true,ORD,North America,Chicago,241,6.73
204.110.223.79,443,443,true,CMH,North America,Columbus,230,6.73
3.17.155.100,443,443,true,ORD,North America,Chicago,268,6.71
204.110.223.246,80,443,true,CMH,North America,Columbus,216,6.65
204.110.223.130,80,443,true,CMH,North America,Columbus,215,6.65
204.110.223.172,80,443,true,CMH,North America,Columbus,215,6.64
18.191.80.173,443,443,true,ORD,North America,Chicago,217,6.64
204.110.223.137,80,443,true,CMH,North America,Columbus,215,6.62
15.222.245.142,8443,443,true,YUL,North America,Montréal,242,6.60
3.98.54.22,8443,443,true,YUL,North America,Montréal,241,6.60
3.147.61.205,443,443,true,ORD,North America,Chicago,248,6.57
35.87.149.39,443,443,true,SEA,North America,Seattle,196,6.57
15.222.245.142,2053,443,true,YUL,North America,Montréal,240,6.57
3.144.88.135,443,443,true,ORD,North America,Chicago,215,6.55
35.94.39.128,443,443,true,SEA,North America,Seattle,196,6.55
35.182.182.230,2053,443,true,YUL,North America,Montréal,240,6.55
3.22.186.26,443,443,true,ORD,North America,Chicago,219,6.53
3.99.60.185,2053,443,true,YUL,North America,Montréal,244,6.51
15.157.59.78,8443,443,true,YUL,North America,Montréal,244,6.46
35.183.62.22,80,443,true,YUL,North America,Montréal,243,6.45
35.183.127.169,80,443,true,YUL,North America,Montréal,243,6.45
15.157.59.78,2053,443,true,YUL,North America,Montréal,242,6.45
3.99.172.75,80,443,true,YUL,North America,Montréal,244,6.45
3.99.184.129,443,443,true,YUL,North America,Montréal,240,6.45
35.183.65.10,80,443,true,YUL,North America,Montréal,244,6.45
3.97.10.148,443,443,true,YUL,North America,Montréal,243,6.44
15.156.192.240,80,443,true,YUL,North America,Montréal,242,6.44
3.96.192.239,2053,443,true,YUL,North America,Montréal,245,6.44
15.222.15.214,443,443,true,YUL,North America,Montréal,245,6.44
3.128.179.218,443,443,true,ORD,North America,Chicago,269,6.43
3.144.2.160,443,443,true,ORD,North America,Chicago,263,6.43
3.99.180.6,80,443,true,YUL,North America,Montréal,239,6.42
35.183.62.22,443,443,true,YUL,North America,Montréal,253,6.42
3.99.143.150,80,443,true,YUL,North America,Montréal,241,6.42
35.183.137.92,80,443,true,YUL,North America,Montréal,262,6.41
35.183.5.126,80,443,true,YUL,North America,Montréal,243,6.40
15.223.67.194,80,443,true,YUL,North America,Montréal,243,6.39
15.156.205.47,443,443,true,YUL,North America,Montréal,246,6.39
52.15.240.0,443,443,true,ORD,North America,Chicago,215,6.38
3.99.147.201,443,443,true,YUL,North America,Montréal,241,6.38
15.156.202.5,80,443,true,YUL,North America,Montréal,244,6.38
18.222.197.23,443,443,true,ORD,North America,Chicago,254,6.36
204.110.223.218,80,443,true,CMH,North America,Columbus,215,6.35
15.222.61.3,80,443,true,YUL,North America,Montréal,252,6.34
204.110.223.159,80,443,true,CMH,North America,Columbus,215,6.33
3.96.142.82,443,443,true,YUL,North America,Montréal,245,6.33
3.99.172.75,443,443,true,YUL,North America,Montréal,240,6.32
15.222.46.229,80,443,true,YUL,North America,Montréal,242,6.32
18.191.154.165,443,443,true,ORD,North America,Chicago,231,6.30
204.110.223.250,80,443,true,CMH,North America,Columbus,230,6.27
3.97.10.148,80,443,true,YUL,North America,Montréal,241,6.24
18.224.14.85,443,443,true,ORD,North America,Chicago,234,6.24
3.96.144.104,80,443,true,YUL,North America,Montréal,259,6.23
18.192.152.35,8443,443,true,FRA,Europe,Frankfurt,170,6.23
35.183.163.195,443,443,true,YUL,North America,Montréal,247,6.21
15.222.15.214,80,443,true,YUL,North America,Montréal,244,6.20
18.246.225.118,443,443,true,SEA,North America,Seattle,215,6.19
18.217.176.64,443,443,true,ORD,North America,Chicago,227,6.18
204.110.223.108,80,443,true,CMH,North America,Columbus,217,6.12
18.226.17.3,443,443,true,ORD,North America,Chicago,259,6.07
3.96.146.64,8443,443,true,YUL,North America,Montréal,240,6.07
3.14.244.67,443,443,true,ORD,North America,Chicago,257,6.00
99.79.195.23,80,443,true,YUL,North America,Montréal,243,5.97
13.58.255.47,443,443,true,CMH,North America,Columbus,232,5.96
3.96.142.82,80,443,true,YUL,North America,Montréal,243,5.96
52.15.167.245,443,443,true,ORD,North America,Chicago,233,5.95
